id,place_id,option,vegetarian_type_id,created_at,updated_at
1,1,0,1,"2023-05-28 21:46:49.640984","2023-05-28 21:46:49.640984"
2,2,0,1,"2023-05-28 21:46:49.644131","2023-05-28 21:46:49.644131"
3,3,0,1,"2023-05-28 21:46:49.646007","2023-05-28 21:46:49.646007"
4,4,0,1,"2023-05-28 21:46:49.647941","2023-05-28 21:46:49.647941"
5,5,0,1,"2023-05-28 21:46:49.649644","2023-05-28 21:46:49.649644"
6,6,0,1,"2023-05-28 21:46:49.651228","2023-05-28 21:46:49.651228"
7,7,0,1,"2023-05-28 21:46:49.653409","2023-05-28 21:46:49.653409"
8,8,0,1,"2023-05-28 21:46:49.655381","2023-05-28 21:46:49.655381"
9,9,0,1,"2023-05-28 21:46:49.656962","2023-05-28 21:46:49.656962"
10,10,0,1,"2023-05-28 21:46:49.659066","2023-05-28 21:46:49.659066"
11,11,0,1,"2023-05-28 21:46:49.660879","2023-05-28 21:46:49.660879"
12,12,0,1,"2023-05-28 21:46:49.662622","2023-05-28 21:46:49.662622"
13,13,0,1,"2023-05-28 21:46:49.664131","2023-05-28 21:46:49.664131"
14,14,0,1,"2023-05-28 21:46:49.665909","2023-05-28 21:46:49.665909"
15,15,0,1,"2023-05-28 21:46:49.667802","2023-05-28 21:46:49.667802"
16,16,0,1,"2023-05-28 21:46:49.669786","2023-05-28 21:46:49.669786"
17,17,0,1,"2023-05-28 21:46:49.671789","2023-05-28 21:46:49.671789"
18,18,0,1,"2023-05-28 21:46:49.673527","2023-05-28 21:46:49.673527"
19,19,0,1,"2023-05-28 21:46:49.674908","2023-05-28 21:46:49.674908"
20,20,0,1,"2023-05-28 21:46:49.676474","2023-05-28 21:46:49.676474"
21,21,0,1,"2023-05-28 21:46:49.678021","2023-05-28 21:46:49.678021"
22,22,0,1,"2023-05-28 21:46:49.679616","2023-05-28 21:46:49.679616"
23,23,0,1,"2023-05-28 21:46:49.687812","2023-05-28 21:46:49.687812"
24,24,0,1,"2023-05-28 21:46:49.702114","2023-05-28 21:46:49.702114"
25,25,0,1,"2023-05-28 21:46:49.710587","2023-05-28 21:46:49.710587"
26,26,0,1,"2023-05-28 21:46:49.717699","2023-05-28 21:46:49.717699"
27,27,0,1,"2023-05-28 21:46:49.735310","2023-05-28 21:46:49.735310"
28,28,0,1,"2023-05-28 21:46:49.751598","2023-05-28 21:46:49.751598"
29,29,0,1,"2023-05-28 21:46:49.754083","2023-05-28 21:46:49.754083"
30,30,0,1,"2023-05-28 21:46:49.756258","2023-05-28 21:46:49.756258"
31,31,0,1,"2023-05-28 21:46:49.757947","2023-05-28 21:46:49.757947"
32,32,0,1,"2023-05-28 21:46:49.759586","2023-05-28 21:46:49.759586"
33,34,0,1,"2023-05-28 21:46:49.761317","2023-05-28 21:46:49.761317"
34,35,0,1,"2023-05-28 21:46:49.762834","2023-05-28 21:46:49.762834"
35,36,0,1,"2023-05-28 21:46:49.764532","2023-05-28 21:46:49.764532"
36,37,0,1,"2023-05-28 21:46:49.766302","2023-05-28 21:46:49.766302"
37,38,0,1,"2023-05-28 21:46:49.768030","2023-05-28 21:46:49.768030"
38,39,0,1,"2023-05-28 21:46:49.770265","2023-05-28 21:46:49.770265"
39,40,0,1,"2023-05-28 21:46:49.771989","2023-05-28 21:46:49.771989"
40,41,0,1,"2023-05-28 21:46:49.773498","2023-05-28 21:46:49.773498"
41,42,0,1,"2023-05-28 21:46:49.775290","2023-05-28 21:46:49.775290"
42,43,0,1,"2023-05-28 21:46:49.776847","2023-05-28 21:46:49.776847"
43,44,0,1,"2023-05-28 21:46:49.778461","2023-05-28 21:46:49.778461"
44,45,0,1,"2023-05-28 21:46:49.779931","2023-05-28 21:46:49.779931"
45,46,0,1,"2023-05-28 21:46:49.781367","2023-05-28 21:46:49.781367"
46,47,0,1,"2023-05-28 21:46:49.782960","2023-05-28 21:46:49.782960"
47,48,0,1,"2023-05-28 21:46:49.784843","2023-05-28 21:46:49.784843"
48,49,0,1,"2023-05-28 21:46:49.787036","2023-05-28 21:46:49.787036"
49,50,1,1,"2023-05-28 21:47:54.283951","2023-05-28 21:47:54.283951"
50,51,1,1,"2023-05-28 21:47:54.288687","2023-05-28 21:47:54.288687"
51,52,1,1,"2023-05-28 21:47:54.292078","2023-05-28 21:47:54.292078"
52,53,1,1,"2023-05-28 21:47:54.294658","2023-05-28 21:47:54.294658"
53,54,1,1,"2023-05-28 21:47:54.297082","2023-05-28 21:47:54.297082"
54,55,1,1,"2023-05-28 21:47:54.299618","2023-05-28 21:47:54.299618"
55,56,1,1,"2023-05-28 21:47:54.301658","2023-05-28 21:47:54.301658"
56,57,1,1,"2023-05-28 21:47:54.303712","2023-05-28 21:47:54.303712"
57,58,1,1,"2023-05-28 21:47:54.306128","2023-05-28 21:47:54.306128"
58,59,1,1,"2023-05-28 21:47:54.308607","2023-05-28 21:47:54.308607"
59,60,1,1,"2023-05-28 21:47:54.310545","2023-05-28 21:47:54.310545"
60,61,1,1,"2023-05-28 21:47:54.312303","2023-05-28 21:47:54.312303"
61,62,1,1,"2023-05-28 21:47:54.313995","2023-05-28 21:47:54.313995"
62,63,1,1,"2023-05-28 21:47:54.315521","2023-05-28 21:47:54.315521"
63,64,1,1,"2023-05-28 21:47:54.317012","2023-05-28 21:47:54.317012"
64,65,1,1,"2023-05-28 21:47:54.318524","2023-05-28 21:47:54.318524"
65,66,1,1,"2023-05-28 21:47:54.320497","2023-05-28 21:47:54.320497"
66,67,1,1,"2023-05-28 21:47:54.322695","2023-05-28 21:47:54.322695"
67,68,1,1,"2023-05-28 21:47:54.324543","2023-05-28 21:47:54.324543"
68,69,1,1,"2023-05-28 21:47:54.326292","2023-05-28 21:47:54.326292"
69,70,1,1,"2023-05-28 21:47:54.327844","2023-05-28 21:47:54.327844"
70,71,1,1,"2023-05-28 21:47:54.329408","2023-05-28 21:47:54.329408"
71,72,1,1,"2023-05-28 21:47:54.330894","2023-05-28 21:47:54.330894"
72,73,1,1,"2023-05-28 21:47:54.332319","2023-05-28 21:47:54.332319"
73,74,1,1,"2023-05-28 21:47:54.333729","2023-05-28 21:47:54.333729"
74,75,1,1,"2023-05-28 21:47:54.335187","2023-05-28 21:47:54.335187"
75,76,1,1,"2023-05-28 21:47:54.336577","2023-05-28 21:47:54.336577"
76,77,1,1,"2023-05-28 21:47:54.338580","2023-05-28 21:47:54.338580"
77,78,1,1,"2023-05-28 21:47:54.340448","2023-05-28 21:47:54.340448"
78,79,1,1,"2023-05-28 21:47:54.342150","2023-05-28 21:47:54.342150"
79,80,1,1,"2023-05-28 21:47:54.343828","2023-05-28 21:47:54.343828"
80,81,1,1,"2023-05-28 21:47:54.345411","2023-05-28 21:47:54.345411"
81,82,1,1,"2023-05-28 21:47:54.346755","2023-05-28 21:47:54.346755"
82,83,1,1,"2023-05-28 21:47:54.348070","2023-05-28 21:47:54.348070"
83,84,1,1,"2023-05-28 21:47:54.349361","2023-05-28 21:47:54.349361"
84,85,1,1,"2023-05-28 21:47:54.350656","2023-05-28 21:47:54.350656"
85,86,1,1,"2023-05-28 21:47:54.351948","2023-05-28 21:47:54.351948"
86,87,1,1,"2023-05-28 21:47:54.353396","2023-05-28 21:47:54.353396"
87,88,1,1,"2023-05-28 21:47:54.355249","2023-05-28 21:47:54.355249"
88,89,1,1,"2023-05-28 21:47:54.357269","2023-05-28 21:47:54.357269"
89,90,1,1,"2023-05-28 21:47:54.358928","2023-05-28 21:47:54.358928"
90,91,1,1,"2023-05-28 21:47:54.360459","2023-05-28 21:47:54.360459"
91,92,1,1,"2023-05-28 21:47:54.362256","2023-05-28 21:47:54.362256"
92,93,1,1,"2023-05-28 21:47:54.364053","2023-05-28 21:47:54.364053"
93,94,1,1,"2023-05-28 21:47:54.365911","2023-05-28 21:47:54.365911"
94,95,1,1,"2023-05-28 21:47:54.367628","2023-05-28 21:47:54.367628"
95,96,1,1,"2023-05-28 21:47:54.369336","2023-05-28 21:47:54.369336"
96,97,1,1,"2023-05-28 21:47:54.371135","2023-05-28 21:47:54.371135"
97,98,1,1,"2023-05-28 21:47:54.373314","2023-05-28 21:47:54.373314"
98,99,1,1,"2023-05-28 21:47:54.375355","2023-05-28 21:47:54.375355"
99,100,1,1,"2023-05-28 21:47:54.377356","2023-05-28 21:47:54.377356"
100,101,1,1,"2023-05-28 21:47:54.381263","2023-05-28 21:47:54.381263"
101,102,1,1,"2023-05-28 21:47:54.383605","2023-05-28 21:47:54.383605"
102,103,1,1,"2023-05-28 21:47:54.385900","2023-05-28 21:47:54.385900"
103,104,1,1,"2023-05-28 21:47:54.387991","2023-05-28 21:47:54.387991"
104,105,1,1,"2023-05-28 21:47:54.390287","2023-05-28 21:47:54.390287"
105,106,1,1,"2023-05-28 21:47:54.392470","2023-05-28 21:47:54.392470"
106,107,1,1,"2023-05-28 21:47:54.394905","2023-05-28 21:47:54.394905"
107,108,1,1,"2023-05-28 21:47:54.397772","2023-05-28 21:47:54.397772"
108,109,1,1,"2023-05-28 21:47:54.399942","2023-05-28 21:47:54.399942"
109,110,1,1,"2023-05-28 21:47:54.401976","2023-05-28 21:47:54.401976"
110,111,1,1,"2023-05-28 21:47:54.404084","2023-05-28 21:47:54.404084"
111,112,1,1,"2023-05-28 21:47:54.406430","2023-05-28 21:47:54.406430"
112,113,1,1,"2023-05-28 21:47:54.408580","2023-05-28 21:47:54.408580"
113,114,1,1,"2023-05-28 21:47:54.410709","2023-05-28 21:47:54.410709"
114,115,1,1,"2023-05-28 21:47:54.412857","2023-05-28 21:47:54.412857"
115,116,1,1,"2023-05-28 21:47:54.415075","2023-05-28 21:47:54.415075"
116,117,1,1,"2023-05-28 21:47:54.416902","2023-05-28 21:47:54.416902"
117,118,1,1,"2023-05-28 21:47:54.418745","2023-05-28 21:47:54.418745"
118,119,1,2,"2023-05-28 21:48:48.747314","2023-05-28 21:48:48.747314"
119,120,1,2,"2023-05-28 21:48:48.751394","2023-05-28 21:48:48.751394"
120,121,1,2,"2023-05-28 21:48:48.755003","2023-05-28 21:48:48.755003"
121,122,1,2,"2023-05-28 21:48:48.758465","2023-05-28 21:48:48.758465"
122,123,1,2,"2023-05-28 21:48:48.761228","2023-05-28 21:48:48.761228"
123,124,1,2,"2023-05-28 21:48:48.763524","2023-05-28 21:48:48.763524"
